Date/Time,power,wind_speed,theoretical,deviation,deviation_norm,anomaly
2018-01-11 09:10:00,558.426513671875,10.8799400329589,3228.38486379432,2669.958350122445,5.811218565124294,True
2018-01-11 09:20:00,0.0,10.9715595245361,3262.30788106258,3262.30788106258,7.196178529539679,True
2018-01-11 09:30:00,0.0,10.5264902114868,3078.32492068302,3078.32492068302,6.766011844245107,True
2018-01-11 09:40:00,0.0,10.4321403503417,3032.81204037888,3032.81204037888,6.659599137230009,True
2018-01-11 10:00:00,0.0,9.11311817169189,2217.15435509404,2217.15435509404,4.752527079631985,True
2018-01-11 10:10:00,0.0,8.87664127349853,2064.79063002074,2064.79063002074,4.3962886625595505,True
2018-01-11 10:20:00,0.0,8.36803340911865,1747.2664507019,1747.2664507019,3.653892065414462,True
2018-01-11 10:30:00,0.0,8.77905845642089,2002.64972901648,2002.64972901648,4.250998330503395,True
2018-01-11 10:40:00,0.0,8.29993629455566,1706.14851764153,1706.14851764153,3.557755091999893,True
2018-01-11 10:50:00,524.581481933593,8.14762687683105,1615.63570027357,1091.054218339977,2.119616063644894,True
2018-01-13 21:00:00,2054.14892578125,11.5599403381347,3436.28165253566,1382.1327267544102,2.8001805945493317,True
2018-01-13 21:10:00,1908.3310546875,11.7164402008056,3470.8003387804,1562.4692840929001,3.2218217016806374,True
2018-01-13 21:20:00,1835.32299804687,11.9059896469116,3506.56867912773,1671.2456810808599,3.4761495048318887,True
2018-01-13 21:30:00,1805.36096191406,12.289939880371,3560.00752381968,1754.64656190562,3.6711473480072643,True
2018-01-13 21:40:00,1793.90100097656,13.2841100692749,3600.0,1806.09899902344,3.791447207731442,True
2018-01-13 21:50:00,1765.41101074218,13.9267797470092,3600.0,1834.58898925782,3.8580590539476067,True
2018-01-13 22:00:00,980.982116699218,14.8789300918579,3600.0,2619.017883300782,5.692115732368336,True
2018-01-13 22:10:00,364.214385986328,14.0129299163818,3600.0,3235.785614013672,7.134167375466556,True
2018-01-13 22:20:00,372.102813720703,12.5643901824951,3583.62956795384,3211.5267542331367,7.0774482462641,True
2018-01-13 22:30:00,357.26919555664,13.0060997009277,3600.0,3242.73080444336,7.150405778956287,True
2018-01-13 22:40:00,361.253814697265,12.1926002502441,3548.77392044316,3187.520105745895,7.021318806975351,True
2018-01-13 22:50:00,367.865203857421,12.5589799880981,3583.27588183876,3215.410677981339,7.08652916659093,True
2018-01-13 23:00:00,360.869812011718,12.7530603408813,3593.22744489318,3232.357632881462,7.1261524849688005,True
2018-01-13 23:10:00,359.992095947265,13.4540901184082,3600.0,3240.007904052735,7.144039422892627,True
2018-01-13 23:20:00,359.206085205078,14.7382097244262,3600.0,3240.793914794922,7.145877178056883,True
2018-01-13 23:30:00,372.734985351562,14.2414503097534,3600.0,3227.265014648438,7.114245541520064,True
2018-01-13 23:40:00,379.55810546875,14.0689496994018,3600.0,3220.44189453125,7.098292548057396,True
2018-01-13 23:50:00,383.7080078125,14.5449495315551,3600.0,3216.2919921875,7.088589748777373,True
2018-01-14 00:00:00,390.611694335937,14.9113903045654,3600.0,3209.388305664063,7.072448384696846,True
2018-01-14 00:10:00,397.615814208984,16.8438205718994,3600.0,3202.384185791016,7.056072199516552,True
2018-01-14 00:20:00,417.4453125,16.130220413208,3600.0,3182.5546875,7.009709267137905,True
2018-01-14 00:30:00,884.418884277343,16.2872695922851,3600.0,2715.581115722657,5.91788819263614,True
2018-01-14 00:40:00,824.119201660156,15.2412996292114,3600.0,2775.8807983398438,6.058873610754413,True
2018-01-14 00:50:00,794.039611816406,16.4513797760009,3600.0,2805.9603881835938,6.129202066342977,True
2018-01-14 01:00:00,1217.88403320312,16.0803604125976,3600.0,2382.11596679688,5.138220350142837,True
2018-01-14 01:10:00,1284.39099121093,16.750539779663,3600.0,2315.60900878907,4.982721832148431,True
2018-01-14 01:20:00,1074.52404785156,15.5585298538208,3600.0,2525.4759521484402,5.473407312975349,True
2018-01-14 01:30:00,712.566223144531,14.3506898880004,3600.0,2887.4337768554688,6.319693280705405,True
2018-01-14 01:40:00,407.412200927734,14.5258302688598,3600.0,3192.587799072266,7.03316747402472,True
2018-01-14 01:50:00,473.298614501953,15.0580196380615,3600.0,3126.701385498047,6.879119837902881,True
2018-01-14 02:00:00,434.62368774414,14.7447299957275,3600.0,3165.37631225586,6.969544869727007,True
2018-01-14 02:10:00,769.184997558593,15.1647300720214,3600.0,2830.815002441407,6.187314116543179,True
2018-01-14 02:20:00,1222.27600097656,16.7761192321777,3600.0,2377.7239990234402,5.127951582779144,True
2018-01-14 02:30:00,934.477600097656,15.5120601654052,3600.0,2665.5223999023438,5.800846963328258,True
2018-01-14 02:40:00,848.723022460937,15.6918001174926,3600.0,2751.276977539063,6.001347935454815,True
2018-01-14 02:50:00,983.657104492187,15.9546003341674,3600.0,2616.342895507813,5.685861399740297,True
2018-01-14 03:00:00,1241.89404296875,16.0805892944335,3600.0,2358.10595703125,5.082083051919872,True
2018-01-14 03:10:00,761.782470703125,14.677900314331,3600.0,2838.217529296875,6.204621808699296,True
2018-01-14 03:20:00,809.836181640625,15.8119401931762,3600.0,2790.163818359375,6.09226843908592,True
2018-01-14 03:30:00,789.679809570312,14.5779199600219,3600.0,2810.320190429688,6.139395628164534,True
2018-01-14 03:40:00,495.271392822265,12.8778600692749,3596.70364668443,3101.432253862165,6.820038613350048,True
2018-01-14 03:50:00,761.885314941406,13.9681701660156,3600.0,2838.1146850585938,6.204381350751497,True
2018-01-14 04:00:00,788.535217285156,13.5261898040771,3600.0,2811.4647827148438,6.142071775283286,True
